EXCHANGE,CABLE_NAME,FIBER_PAIR,REMARKS,STATUS,CABLE_TYPE,DSA_NUM,ACCESS_POINT,ROUTE,PEDESTAL,AP_ADDRESS,MAP,CONDITION_CODE,COMMENTS,CIRCUIT_ID,CIRCUIT_DESIGN_ID,EUL_NAME,STREET_ADDRESS,ADDL_INFO,CLLI_CODE
LAVERGNE,FDHAJ,324,,Inservice,PON-DISTR,24100,241-AJ-482 FP4,482,FP4,HOLLAND RIDGE DR,MAP-41,,,241-AJ-016984//ONT LINK/2930081,2930081,241-AJ-016984,202 HOLLAND RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,325,,Unassigned,PON-DISTR,24100,241-AJ-467 FP4,467,FP4,RIVERWOOD DR,MAP-41,,,,,241-02-045626,119 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,327,,Inservice,PON-DISTR,24100,241-AJ-467 FP4,467,FP4,RIVERWOOD DR,MAP-41,,,241-AJ-045635/    /ONT LINK/3083159,3083159,241-AJ-045635,121 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,328,,Unassigned,PON-DISTR,24100,241-AJ-467 FP4,467,FP4,RIVERWOOD DR,MAP-41,,,,,241-AJ-045630,120 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,329,,Unassigned,PON-DISTR,24100,241-AJ-467 FP4,467,FP4,RIVERWOOD DR,MAP-41,,,,,241-AJ-045644,123 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,330,,Unassigned,PON-DISTR,24100,241-AJ-467 FP4,467,FP4,RIVERWOOD DR,MAP-41,,,,,241-AJ-045640,122 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,331,,Unassigned,PON-DISTR,24100,241-AJ-467 FP5,467,FP5,RIVERWOOD DR,MAP-41,,,,,241-02-045655,125 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,332,,Unassigned,PON-DISTR,24100,241-AJ-467 FP5,467,FP5,RIVERWOOD DR,MAP-41,,,,,241-AJ-045649,124 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,333,,Unassigned,PON-DISTR,24100,241-AJ-467 FP5,467,FP5,RIVERWOOD DR,MAP-41,,,,,241-02-045663,127 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,334,,Unassigned,PON-DISTR,24100,241-AJ-467 FP5,467,FP5,RIVERWOOD DR,MAP-41,,,,,241-AJ-045660,126 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,335,,Unassigned,PON-DISTR,24100,241-AJ-467 FP5,467,FP5,RIVERWOOD DR,MAP-41,,,,,241-AJ-045670,129 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,336,,Unassigned,PON-DISTR,24100,241-AJ-467 FP5,467,FP5,RIVERWOOD DR,MAP-41,,,,,241-02-045667,128 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,337,,Inservice,PON-DISTR,24100,241-AJ-467 FP6,467,FP6,RIVERWOOD DR,MAP-41,,,241-AJ-045674//ONT LINK/2929575,2929575,241-AJ-045674,131 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,339,,Unassigned,PON-DISTR,24100,241-AJ-467 FP6,467,FP6,RIVERWOOD DR,MAP-41,,,,,241-AJ-045676,201 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,340,,Unassigned,PON-DISTR,24100,241-AJ-467 FP6,467,FP6,RIVERWOOD DR,MAP-41,,,,,241-02-045681,202 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,341,,Inservice,PON-DISTR,24100,241-AJ-467 FP6,467,FP6,RIVERWOOD DR,MAP-41,,,241-AJ-045687//ONT LINK/2930449,2930449,241-AJ-045687,203 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,342,,Unassigned,PON-DISTR,24100,241-AJ-467 FP6,467,FP6,RIVERWOOD DR,MAP-41,,,,,241-02-045689,204 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,343,,Unassigned,PON-DISTR,24100,241-AJ-467 FP7,467,FP7,RIVERWOOD DR,MAP-41,,,,,241-02-045693,205 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,344,,Unassigned,PON-DISTR,24100,241-AJ-467 FP7,467,FP7,RIVERWOOD DR,MAP-41,,,,,241-02-045697,206 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,345,,Inservice,PON-DISTR,24100,241-AJ-467 FP7,467,FP7,RIVERWOOD DR,MAP-41,,,241-02-045702/    /ONT LINK/3276278,3276278,241-02-045702,207 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,346,,Unassigned,PON-DISTR,24100,241-AJ-467 FP7,467,FP7,RIVERWOOD DR,MAP-41,,,,,241-02-045711,208 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,347,,Inservice,PON-DISTR,24100,241-AJ-467 FP7,467,FP7,RIVERWOOD DR,MAP-41,,,241-AJ-045716//ONT LINK/2934534,2934534,241-AJ-045716,209 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,349,,Inservice,PON-DISTR,24100,241-AJ-467 FP8,467,FP8,RIVERWOOD DR,MAP-37,,,241-AJ-045720//ONT LINK/2929566,2929566,241-AJ-045720,210 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,350,,Unassigned,PON-DISTR,24100,241-AJ-467 FP8,467,FP8,RIVERWOOD DR,MAP-37,,,,,241-02-045729,212 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,351,,Unassigned,PON-DISTR,24100,241-AJ-467 FP8,467,FP8,RIVERWOOD DR,MAP-37,,,,,241-AJ-045722,211 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,352,,Unassigned,PON-DISTR,24100,241-AJ-467 FP8,467,FP8,RIVERWOOD DR,MAP-37,,,,,241-AJ-045737,214 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,353,,Unassigned,PON-DISTR,24100,241-AJ-467 FP8,467,FP8,RIVERWOOD DR,MAP-37,,,,,241-AJ-045733,213 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,354,,Inservice,PON-DISTR,24100,241-AJ-467 FP8,467,FP8,RIVERWOOD DR,MAP-37,,,241-02-016994/    /ONT LINK/3273766,3273766,241-02-016994,205 HOLLAND RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,355,,Unassigned,PON-DISTR,24100,241-AJ-467 FP8,467,FP8,RIVERWOOD DR,MAP-37,,,,,241-AJ-045744,215 RIVERWOOD DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,356,,Inservice,PON-DISTR,24100,241-AJ-482 FP6,482,FP6,HOLLAND RIDGE DR,MAP-37,,,241-AJ-050993//ONT LINK/2930558,2930558,241-AJ-050993,102 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,357,,Inservice,PON-DISTR,24100,241-AJ-482 FP6,482,FP6,HOLLAND RIDGE DR,MAP-37,,,241-AJ-002046//ONT LINK/2929447,2929447,241-AJ-002046,620 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,358,,Inservice,PON-DISTR,24100,241-AJ-482 FP6,482,FP6,HOLLAND RIDGE DR,MAP-37,,,241-AJ-016978//ONT LINK/2929790,2929790,241-AJ-016978,104 HOLLAND RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,359,,Unassigned,PON-DISTR,24100,241-AJ-482 FP6,482,FP6,HOLLAND RIDGE DR,MAP-37,,,,,241-02-016966,103 HOLLAND RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,361,,Unassigned,PON-DISTR,24100,241-AJ-467 FP11,467,FP11,RIVERWOOD CT,MAP-37,,,,,241-AJ-045517,311 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,362,,Unassigned,PON-DISTR,24100,241-AJ-467 FP11,467,FP11,RIVERWOOD CT,MAP-37,,,,,241-AJ-045514,310 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,363,,Unassigned,PON-DISTR,24100,241-AJ-467 FP11,467,FP11,RIVERWOOD CT,MAP-37,,,,,241-02-045509,309 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,364,,Unassigned,PON-DISTR,24100,241-AJ-467 FP11,467,FP11,RIVERWOOD CT,MAP-37,,,,,241-02-045504,308 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,365,,Inservice,PON-DISTR,24100,241-AJ-467 FP11,467,FP11,RIVERWOOD CT,MAP-37,,,241-02-045498/    /ONT LINK/3505836,3505836,241-02-045498,307 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,366,,Unassigned,PON-DISTR,24100,241-AJ-467 FP10,467,FP10,RIVERWOOD CT,MAP-37,,,,,241-AJ-045492,306 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,367,,Inservice,PON-DISTR,24100,241-AJ-467 FP10,467,FP10,RIVERWOOD CT,MAP-37,,,241-02-045488/    /ONT LINK/3148819,3148819,241-02-045488,305 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,368,,Unassigned,PON-DISTR,24100,241-AJ-467 FP10,467,FP10,RIVERWOOD CT,MAP-37,,,,,241-AJ-045484,304 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,369,,Inservice,PON-DISTR,24100,241-AJ-467 FP10,467,FP10,RIVERWOOD CT,MAP-37,,,241-AJ-045482//ONT LINK/2930742,2930742,241-AJ-045482,303 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,370,,Unassigned,PON-DISTR,24100,241-AJ-467 FP10,467,FP10,RIVERWOOD CT,MAP-37,,,,,241-AJ-045479,302 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,371,,Unassigned,PON-DISTR,24100,241-AJ-482 FP3,482,FP3,RIVERWOOD CT,MAP-37,,,,,241-AJ-045474,301 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,372,,Unassigned,PON-DISTR,24100,241-AJ-482 FP3,482,FP3,RIVERWOOD CT,MAP-37,,,,,241-AJ-045470,300 RIVERWOOD CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,373,,Unassigned,PON-DISTR,24100,241-AJ-484 FP8,484,FP8,CEDAR BEND LN,MAP-41,,,,,241-AJ-001714,581 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,374,,Unassigned,PON-DISTR,24100,241-AJ-484 FP8,484,FP8,CEDAR BEND LN,MAP-41,,,,,241-02-001719,582 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,375,,Unassigned,PON-DISTR,24100,241-AJ-484 FP8,484,FP8,CEDAR BEND LN,MAP-41,,,,,241-02-001725,583 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,376,,Unassigned,PON-DISTR,24100,241-AJ-484 FP7,484,FP7,CEDAR BEND LN,MAP-41,,,,,241-02-001735,584 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,377,,Unassigned,PON-DISTR,24100,241-AJ-484 FP7,484,FP7,CEDAR BEND LN,MAP-41,,,,,241-AJ-001746,585 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,378,,Unassigned,PON-DISTR,24100,241-AJ-484 FP7,484,FP7,CEDAR BEND LN,MAP-41,,,,,241-02-001751,586 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,379,,Inservice,PON-DISTR,24100,241-AJ-484 FP7,484,FP7,CEDAR BEND LN,MAP-41,,,241-02-001760/    /ONT LINK/3251924,3251924,241-02-001760,587 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,380,,Unassigned,PON-DISTR,24100,241-AJ-484 FP6,484,FP6,CEDAR BEND LN,MAP-41,,,,,241-AJ-001792,590 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,381,,Unassigned,PON-DISTR,24100,241-AJ-484 FP6,484,FP6,CEDAR BEND LN,MAP-41,,,,,241-AJ-001786,589 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,382,,Inservice,PON-DISTR,24100,241-AJ-484 FP6,484,FP6,CEDAR BEND LN,MAP-41,,,241-AJ-001778//ONT LINK/2929904,2929904,241-AJ-001778,588 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,383,,Unassigned,PON-DISTR,24100,241-AJ-484 FP6,484,FP6,CEDAR BEND LN,MAP-41,,,,,241-02-001795,591 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,384,,Unassigned,PON-DISTR,24100,241-AJ-484 FP6,484,FP6,CEDAR BEND LN,MAP-41,,,,,241-02-001813,593 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,385,,Unassigned,PON-DISTR,24100,241-AJ-484 FP5,484,FP5,CEDAR BEND LN,MAP-41,,,,,241-AJ-001808,592 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,386,,Unassigned,PON-DISTR,24100,241-AJ-484 FP5,484,FP5,CEDAR BEND LN,MAP-41,,,,,241-AJ-001825,594 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,387,,Unassigned,PON-DISTR,24100,241-AJ-484 FP5,484,FP5,CEDAR BEND LN,MAP-41,,,,,241-AJ-001837,595 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,388,,Unassigned,PON-DISTR,24100,241-AJ-484 FP5,484,FP5,CEDAR BEND LN,MAP-41,,,,,241-02-001843,596 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,389,,Unassigned,PON-DISTR,24100,241-AJ-484 FP5,484,FP5,CEDAR BEND LN,MAP-41,,,,,241-02-001854,597 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,390,,Unassigned,PON-DISTR,24100,241-AJ-484 FP5,484,FP5,CEDAR BEND LN,MAP-41,,,,,241-02-001843,596 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,391,,Unassigned,PON-DISTR,24100,241-AJ-484 FP4,484,FP4,CEDAR BEND LN,MAP-41,,,,,241-AJ-001867,598 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,392,,Unassigned,PON-DISTR,24100,241-AJ-484 FP4,484,FP4,CEDAR BEND LN,MAP-41,,,,,241-02-001894,600 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,393,,Inservice,PON-DISTR,24100,241-AJ-484 FP4,484,FP4,CEDAR BEND LN,MAP-41,,,241-AJ-001880//ONT LINK/2930924,2930924,241-AJ-001880,599 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,394,,Unassigned,PON-DISTR,24100,241-AJ-484 FP4,484,FP4,CEDAR BEND LN,MAP-41,,,,,241-AJ-001900,602 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,395,,Inservice,PON-DISTR,24100,241-AJ-484 FP4,484,FP4,CEDAR BEND LN,MAP-41,,,241-AJ-001910//ONT LINK/2929999,2929999,241-AJ-001910,603 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,397,,Unassigned,PON-DISTR,24100,241-AJ-484 FP3,484,FP3,CEDAR BEND LN,MAP-41,,,,,241-AJ-001923,605 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,398,,Unassigned,PON-DISTR,24100,241-AJ-484 FP3,484,FP3,CEDAR BEND LN,MAP-41,,,,,241-02-001914,604 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,399,,Unassigned,PON-DISTR,24100,241-AJ-484 FP3,484,FP3,CEDAR BEND LN,MAP-41,,,,,241-02-001939,607 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,400,,Unassigned,PON-DISTR,24100,241-AJ-484 FP3,484,FP3,CEDAR BEND LN,MAP-41,,,,,241-AJ-001933,606 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,401,,Inservice,PON-DISTR,24100,241-AJ-484 FP3,484,FP3,CEDAR BEND LN,MAP-41,,,241-AJ-001953//ONT LINK/2930365,2930365,241-AJ-001953,608 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,402,,Unassigned,PON-DISTR,24100,241-AJ-484 FP2,484,FP2,CEDAR BEND LN,MAP-41,,,,,241-02-001968,610 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,403,,Unassigned,PON-DISTR,24100,241-AJ-484 FP2,484,FP2,CEDAR BEND LN,MAP-41,,,,,241-AJ-001960,609 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,404,,Inservice,PON-DISTR,24100,241-AJ-484 FP2,484,FP2,CEDAR BEND LN,MAP-41,,,241-AJ-001982//ONT LINK/2929791,2929791,241-AJ-001982,611 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,405,,Unassigned,PON-DISTR,24100,241-AJ-484 FP2,484,FP2,CEDAR BEND LN,MAP-41,,,,,241-AJ-002001,613 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,406,,Unassigned,PON-DISTR,24100,241-AJ-484 FP2,484,FP2,CEDAR BEND LN,MAP-41,,,,,241-AJ-001991,612 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,409,,Inservice,PON-DISTR,24100,241-AJ-484 FP1,484,FP1,CEDAR BEND LN,MAP-37,,,241-AJ-002014//ONT LINK/2930015,2930015,241-AJ-002014,615 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,410,,Unassigned,PON-DISTR,24100,241-AJ-484 FP1,484,FP1,CEDAR BEND LN,MAP-37,,,,,241-02-002006,614 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,411,,Inservice,PON-DISTR,24100,241-AJ-484 FP1,484,FP1,CEDAR BEND LN,MAP-37,,,241-AJ-002028//ONT LINK/2929972,2929972,241-AJ-002028,617 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,412,,Unassigned,PON-DISTR,24100,241-AJ-484 FP1,484,FP1,CEDAR BEND LN,MAP-37,,,,,241-02-002019,616 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,413,,Unassigned,PON-DISTR,24100,241-AJ-484 FP1,484,FP1,CEDAR BEND LN,MAP-37,,,,,241-02-002039,619 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,414,,Inservice,PON-DISTR,24100,241-AJ-484 FP1,484,FP1,CEDAR BEND LN,MAP-37,,,241-AJ-002034/    /ONT LINK/3032120,3032120,241-AJ-002034,618 CEDAR BEND LN ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,421,,Inservice,PON-DISTR,24100,241-AJ-509 FP2,509,FP2,CEDAR BEND CT,MAP-37,,,241-02-001695/    /ONT LINK/3291440,3291440,241-02-001695,111 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,422,,Unassigned,PON-DISTR,24100,241-AJ-509 FP2,509,FP2,CEDAR BEND CT,MAP-37,,,,,241-AJ-001703,112 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,423,,Unassigned,PON-DISTR,24100,241-AJ-509 FP2,509,FP2,CEDAR BEND CT,MAP-37,,,,,241-AJ-001682,109 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,424,,Unassigned,PON-DISTR,24100,241-AJ-509 FP2,509,FP2,CEDAR BEND CT,MAP-37,,,,,241-02-001687,110 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,425,,Unassigned,PON-DISTR,24100,241-AJ-509 FP1,509,FP1,CEDAR BEND CT,MAP-37,,,,,241-02-001666,107 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,426,,Unassigned,PON-DISTR,24100,241-AJ-509 FP1,509,FP1,CEDAR BEND CT,MAP-37,,,,,241-AJ-001670,108 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,427,,Unassigned,PON-DISTR,24100,241-AJ-509 FP1,509,FP1,CEDAR BEND CT,MAP-37,,,,,241-02-001650,105 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,428,,Inservice,PON-DISTR,24100,241-AJ-509 FP1,509,FP1,CEDAR BEND CT,MAP-37,,,241-AJ-001658/    /ONT LINK/3246503,3246503,241-AJ-001658,106 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,429,,Inservice,PON-DISTR,24100,241-AJ-509 FP1,509,FP1,CEDAR BEND CT,MAP-37,,,241-AJ-001628/    /ONT LINK/3535667,3535667,241-AJ-001628,103 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,430,,Inservice,PON-DISTR,24100,241-AJ-509 FP1,509,FP1,CEDAR BEND CT,MAP-37,,,241-02-001634/    /ONT LINK/3523118,3523118,241-02-001634,104 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,431,,Unassigned,PON-DISTR,24100,241-AJ-482 FP5,482,FP5,CEDAR BEND LN,MAP-37,,,,,241-02-001618,101 CEDAR BEND CT ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,432,,Unassigned,PON-DISTR,24100,241-AJ-482 FP5,482,FP5,CEDAR BEND LN,MAP-37,,,,,241-02-002051,621 CEDAR BEND LN ,,LVRGTNXAAJ
,,,,,,,,,,,,,,,,,,,
